70,المتوسطة (عام),الصف الأول والثاني والثالث,المهارات الحياتية والأسرية,1
71,المتوسطة (عام),الصف الأول والثاني والثالث,النشاط,1
72,المتوسطة (عام),الصف الثالث,اللغة العربية,4
73,المتوسطة (عام),الصف الثالث,الدراسات الاجتماعية,2
74,المتوسطة (عام),الصف الثالث,التفكير الناقد,2
75,المتوسطة (عام),الصف الثالث,النشاط,1
76,,,,
77,,,,
78,,,,
79,,,,
80,المرحلة,الصف الدراسي,المادة الدراسية,عدد الحصص
81,المتوسطة (تحفيظ),الصف الأول والثاني,القرآن الكريم والدراسات الإسلامية,8
82,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,التجويد,1
83,المتوسطة (تحفيظ),الصف الأول والثاني,اللغة العربية,5
84,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,الدراسات الاجتماعية,2
85,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,الرياضيات,6
86,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,العلوم,4
87,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,اللغة الإنجليزية,4
88,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,المهارات الرقمية,2
89,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,التربية الفنية,1
90,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,التربية البدنية والدفاع عن النفس,1
91,المتوسطة (تحفيظ),الصف الأول والثاني والثالث,المهارات الحياتية والأسرية,1
92,المتوسطة (تحفيظ),الصف الثالث,القرآن الكريم والدراسات الإسلامية,7
93,المتوسطة (تحفيظ),الصف الثالث,التفكير الناقد,2
94,المتوسطة (تحفيظ),الصف الثالث,اللغة العربية,4
95,,,,
96,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
97,السنة الأولى الثانوية المشتركة,الأول,القرآن الكريم وتفسيره,4
98,السنة الأولى الثانوية المشتركة,الأول,الرياضيات 1,5
99,السنة الأولى الثانوية المشتركة,الأول,اللغة الإنجليزية 1,5
100,السنة الأولى الثانوية المشتركة,الأول,التقنية الرقمية 1,3
101,السنة الأولى الثانوية المشتركة,الأول,الكفايات اللغوية 1,4
102,السنة الأولى الثانوية المشتركة,الأول,مادة العلوم (كيمياء/فيزياء),3
103,السنة الأولى الثانوية المشتركة,الأول,التفكير الناقد,3
104,السنة الأولى الثانوية المشتركة,الأول,التربية الصحية والبدنية 1,2
105,,,,
106,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
107,السنة الأولى الثانوية المشتركة,الثاني,الرياضيات 1,5
108,السنة الأولى الثانوية المشتركة,الثاني,اللغة الإنجليزية 1,5
109,السنة الأولى الثانوية المشتركة,الثاني,التقنية الرقمية 1,3
110,السنة الأولى الثانوية المشتركة,الثاني,الأحياء 1,3
111,السنة الأولى الثانوية المشتركة,الثاني,مادة العلوم (كيمياء/فيزياء),3
112,السنة الأولى الثانوية المشتركة,الثاني,الكفايات اللغوية 1,3
113,السنة الأولى الثانوية المشتركة,الثاني,علم البيئة,2
114,السنة الأولى الثانوية المشتركة,الثاني,الحديث 1,2
115,السنة الأولى الثانوية المشتركة,الثاني,المعرفة المالية,2
116,السنة الأولى الثانوية المشتركة,الثاني,الدراسات الاجتماعية,3
117,السنة الأولى الثانوية المشتركة,الثاني,التربية المهنية,2
118,السنة الأولى الثانوية المشتركة,الثاني,التربية الصحية والبدنية 1,2
119,,,,
120,,,,
121,,,,
122,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
123,السنة الثانية الثانوية مسار عام,الأول,الرياضيات 2,5
124,السنة الثانية الثانوية مسار عام,الأول,اللغة الإنجليزية 2,5
125,السنة الثانية الثانوية مسار عام,الأول,الفيزياء 2,4
126,السنة الثانية الثانوية مسار عام,الأول,الكيمياء 2,5
127,السنة الثانية الثانوية مسار عام,الأول,الأحياء 2,4
128,السنة الثانية الثانوية مسار عام,الأول,الكفايات اللغوية 2,4
129,السنة الثانية الثانوية مسار عام,الأول,التاريخ,3
130,السنة الثانية الثانوية مسار عام,الأول,اللياقة والثقافة الصحية,3
131,السنة الثانية الثانوية مسار عام,الأول,النشاط,2
132,,,,
133,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
134,السنة الثانية الثانوية مسار عام,الثاني,الرياضيات 2,5
135,السنة الثانية الثانوية مسار عام,الثاني,اللغة الإنجليزية 2,5
136,السنة الثانية الثانوية مسار عام,الثاني,الكيمياء 2,5
137,السنة الثانية الثانوية مسار عام,الثاني,الأحياء 2,4
138,السنة الثانية الثانوية مسار عام,الثاني,التقنية الرقمية 2,4
139,السنة الثانية الثانوية مسار عام,الثاني,التوحيد 1,2
140,السنة الثانية الثانوية مسار عام,الثاني,الجغرافيا,2
141,السنة الثانية الثانوية مسار عام,الثاني,الفنون,2
142,السنة الثانية الثانوية مسار عام,الثاني,اللياقة والثقافة الصحية,3
143,السنة الثانية الثانوية مسار عام,الثاني,النشاط,2
144,,,,
145,,,,
146,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
147,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,الرياضيات 2,5
148,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,اللغة الإنجليزية 2,5
149,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,الفيزياء 2,4
150,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,إنترنت الأشياء 1-1,4
151,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,الكفايات اللغوية 2,4
152,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,التاريخ,2
153,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,اللياقة والثقافة الصحية,3
154,السنة الثانية الثانوية مسار حاسب وهندسة,الأول,النشاط,2
155,,,,
156,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
157,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,الرياضيات 2,5
158,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,اللغة الإنجليزية 2,5
159,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,الكيمياء 2,3
160,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,علم البيانات,4
161,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,الهندسة,3
162,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,التوحيد 1,2
163,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,الجغرافيا,3
164,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,اللياقة والثقافة الصحية,3
165,السنة الثانية الثانوية مسار حاسب وهندسة,الثاني,النشاط,2
166,,,,
167,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
168,السنة الثانية الثانوية صحة وحياة,الأول,الرياضيات 2,5
169,السنة الثانية الثانوية صحة وحياة,الأول,اللغة الإنجليزية 2,5
170,السنة الثانية الثانوية صحة وحياة,الأول,الكيمياء 2,5
171,السنة الثانية الثانوية صحة وحياة,الأول,الأحياء 2,4
172,السنة الثانية الثانوية صحة وحياة,الأول,مبادئ العلوم الصحية,4
173,السنة الثانية الثانوية صحة وحياة,الأول,الكفايات اللغوية 2,4
174,السنة الثانية الثانوية صحة وحياة,الأول,اللياقة والثقافة الصحية,3
175,السنة الثانية الثانوية صحة وحياة,الأول,النشاط,2
176,,,,
177,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
178,السنة الثانية الثانوية صحة وحياة,الثاني,الرياضيات 2,5
179,السنة الثانية الثانوية صحة وحياة,الثاني,اللغة الإنجليزية 2,5
180,السنة الثانية الثانوية صحة وحياة,الثاني,الفيزياء 2,4
181,السنة الثانية الثانوية صحة وحياة,الثاني,الرعاية الصحية,3
182,السنة الثانية الثانوية صحة وحياة,الثاني,التقنية الرقمية 2,2
183,السنة الثانية الثانوية صحة وحياة,الثاني,التوحيد 1,2
184,السنة الثانية الثانوية صحة وحياة,الثاني,اللياقة والثقافة الصحية,3
185,السنة الثانية الثانوية صحة وحياة,الثاني,النشاط,2
186,,,,
187,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
188,السنة الثانية الثانوية إدارة أعمال,الأول,اللغة الإنجليزية 2,5
189,السنة الثانية الثانوية إدارة أعمال,الأول,صناعة القرار في الأعمال,5
190,السنة الثانية الثانوية إدارة أعمال,الأول,مقدمة في الأعمال,4
191,السنة الثانية الثانوية إدارة أعمال,الأول,الكفايات اللغوية 2,4
192,السنة الثانية الثانوية إدارة أعمال,الأول,الإدارة المالية,3
193,السنة الثانية الثانوية إدارة أعمال,الأول,التوحيد 1,2
194,السنة الثانية الثانوية إدارة أعمال,الأول,التاريخ,2
195,السنة الثانية الثانوية إدارة أعمال,الأول,اللياقة والثقافة الصحية,3
196,السنة الثانية الثانوية إدارة أعمال,الأول,النشاط,3
197,,,,
198,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
199,السنة الثانية الثانوية إدارة أعمال,الثاني,اللغة الإنجليزية 2,5
200,السنة الثانية الثانوية إدارة أعمال,الثاني,صناعة القرار في الأعمال,4
201,السنة الثانية الثانوية إدارة أعمال,الثاني,مقدمة في الأعمال,3
202,السنة الثانية الثانوية إدارة أعمال,الثاني,مبادئ الاقتصاد,3
203,السنة الثانية الثانوية إدارة أعمال,الثاني,مبادئ الإدارة,3
204,السنة الثانية الثانوية إدارة أعمال,الثاني,التفسير 1,2
205,السنة الثانية الثانوية إدارة أعمال,الثاني,الجغرافيا,3
206,السنة الثانية الثانوية إدارة أعمال,الثاني,الفنون,2
207,السنة الثانية الثانوية إدارة أعمال,الثاني,اللياقة والثقافة الصحية,3
208,السنة الثانية الثانوية إدارة أعمال,الثاني,النشاط,3
209,,,,
210,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
211,السنة الثانية الثانوية مسار شرعي,الأول,القرآن الكريم 1,5
212,السنة الثانية الثانوية مسار شرعي,الأول,اللغة الإنجليزية 2,5
213,السنة الثانية الثانوية مسار شرعي,الأول,الكفايات اللغوية 2,4
214,السنة الثانية الثانوية مسار شرعي,الأول,القراءات 1,4
215,السنة الثانية الثانوية مسار شرعي,الأول,الحديث 2,2
216,السنة الثانية الثانوية مسار شرعي,الأول,التوحيد 1,2
217,السنة الثانية الثانوية مسار شرعي,الأول,التاريخ,3
218,السنة الثانية الثانوية مسار شرعي,الأول,اللياقة والثقافة الصحية,3
219,السنة الثانية الثانوية مسار شرعي,الأول,النشاط,3
220,,,,
221,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
222,السنة الثانية الثانوية مسار شرعي,الثاني,القرآن الكريم 1,5
223,السنة الثانية الثانوية مسار شرعي,الثاني,اللغة الإنجليزية 2,5
224,السنة الثانية الثانوية مسار شرعي,الثاني,علوم القرآن,4
225,السنة الثانية الثانوية مسار شرعي,الثاني,القراءات 2,3
226,السنة الثانية الثانوية مسار شرعي,الثاني,مصطلح الحديث,2
227,السنة الثانية الثانوية مسار شرعي,الثاني,التوحيد 2,2
228,السنة الثانية الثانوية مسار شرعي,الثاني,الجغرافيا,2
229,السنة الثانية الثانوية مسار شرعي,الثاني,الفنون,2
230,السنة الثانية الثانوية مسار شرعي,الثاني,اللياقة والثقافة الصحية,3
231,السنة الثانية الثانوية مسار شرعي,الثاني,النشاط,3
232,,,,
233,,,,
234,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
235,السنة الثالثة الثانوية مسار عام,الأول,الرياضيات 3,4
236,السنة الثالثة الثانوية مسار عام,الأول,اللغة الإنجليزية 3,4
237,السنة الثالثة الثانوية مسار عام,الأول,الفيزياء 3,5
238,السنة الثالثة الثانوية مسار عام,الأول,الكيمياء 3,5
239,السنة الثالثة الثانوية مسار عام,الأول,الأحياء 3,4
240,السنة الثالثة الثانوية مسار عام,الأول,علوم الأرض والفضاء,3
241,السنة الثالثة الثانوية مسار عام,الأول,المجال الاختياري,5
242,السنة الثالثة الثانوية مسار عام,الأول,النشاط,1
243,,,,
244,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
245,السنة الثالثة الثانوية مسار عام,الثاني,الرياضيات 3,4
246,السنة الثالثة الثانوية مسار عام,الثاني,اللغة الإنجليزية 3,4
247,السنة الثالثة الثانوية مسار عام,الثاني,الفيزياء 3,5
248,السنة الثالثة الثانوية مسار عام,الثاني,الكيمياء 3,3
249,السنة الثالثة الثانوية مسار عام,الثاني,الأحياء 3,4
